type-problem,jawaban,score
1,"Transgenik adalah tanaman yang telah direkayasa bentuk maupun kualitasnya  melalui penyisipan gen atau DNA binatang, bakteri, mikroba, atau virus untuk tujuan  tertentu. Organisme transgenik adalah organisme yang mendapatkan pindahan gen  dari organisme lain. Gen yang ditransfer dapat berasal dari jenis (spesies) lain seperti  bakteri, virus, hewan, atau tanaman lain.",1
1,"Thiobacillus, Bacillus",1
1,Bakteri casei,1
1,Bakteri yang terlibat adalah bakeri Agrobacterium Tumafaciens.,3
1,Bakteri plasmolipid,1
1,"Bakteri nitrosococcus,nitrosomonas",1
1,"Thiobacillus, agrobacteriumtumefaciens",3
1,Thuringiensis,3
1,Kaga tau ka,0
1,"Agrobacterium tumefaciens, Acetobacter xylinum",3
1,Bacillus thuringiensis,4
1,"Thiobaccilus ferroxidans, Acetobacter Xylinum, Bacillus thuriengensis.",2
1,"Mikrobakteria,",1
1,Agrobacterium tumefaciens,4
1,Acetobacter xylinum sering digunakan untuk saat pembuatan nata de coco,1
1,Agrobacterium tumeficans,3
2,Meristem primer adalah meristem yang masi dapat membelah sedangkan meristem sekunder tidak dapat membelah lagi,1
2,"Meristem primer pertumbuhannya ke atas atau memanjang dan berada di ujung-ujung tumbuhan seperti akar dan bujung batang, sedangkan meristem sekunder pertumbuhannya ke samping atau melebar dan terdapat pada sekitar batang",5
2,Meristem primer adalah meristem yng masih aktif bekerja biasanya masih berumur muda Meristem sekunder yang hanya berfungsi sebagai pembesar fisik sehingga dapat dikatakan kerjanya pasif.,4
2,Akar serabut dan batang,1
2,Meristem primer terdapat pada tumbuhan dikotil dan monokotil sedangkan meristem sekunder hanya terdapat pada tumbuhan monokotil. Meristem primer berperan dalam pertumbuhan primer dibedakan menjadi dua yaitu meristem apikal di bagian ujung dan pucuk tanaman serta meristem interkalar yang berada di ruas batang. Meristem sekunder berperan dalam pertumbuhan lateral,3
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar.,5
2,"meristem primer terletak di bagian ujung akar dan ujung batang, fungsinya adalah menambah tinggi. meritem sekundee terletak di kambium, fungsinya adalah menambah lebar",5
2,meristem primer untuk pemanjangan atau dominasi apikal meristem sekundem untuk pertambahan volume batang atau organ tumbuhan,3
2,Perbedaan pada pembelahan.,1
2,Primer=bertambah panjang suatu batang. Sekunder=bertambah lebar suatu batang,4
2,Meristem primer aktif membelah di ujung akar dan ujung batang. Meristem sekunder karena ada aktivitas kambium,4
2,Meristem primer terdiri dari sel sel embrionik sedangkan meristem sekunder meristem yang asalnya dari jaringan yamg dewasa,2
2,Meristem primer untuk pertumbuhan memanjang sedangkan meristem sekunder untuk pertumbuhan ke samping,3
2,Meristem primer mengatur pertumbuhan tanaman untuk meninggi ( ke atas dan ke bawah (akar)) sedangkan meristem sekunder mengatur pertumbuhan tanaman ke samping (menebal) dengan adanya kambium.,5
2,"Meristem primer adalah jaringan yang masih bertumbuh, terdapat pada ujung ujung tumbuhan. Meristem sekunder adalah jaringan sekunder yang kembali bertumbuh, contohnya kambium",3
2,Meristem primer untuk pertumbuhan meristem sekunder untuk perkembangan,1
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar,4
2,Meristem primer,0
2,Meristem primer yaitu perkembangan lebih lanjut dari pertumbuhan embrio sedangkan meristem sekunder yaitu meristem yang berasal dari jaringan dewasa,4
2,Meristem primer berkembang dari sel embrionaldan ditemukan pada ujung daerah pertumbuhan sedangkan meristem sekunder berkembang dari meristem lateral dan berfungsi untuk menambah diameter tumbuhan,4
2,Meristem primer masih aktif membelah sedangkan meristem sekunder sudah tidak aktif membelah.,1
2,Meristem primer untuk pertumbuhan memanjang seperti bertambah tinggi batang sedangkan meristem sekunder untuk pertumbuhan sekunder seperti melebar nya batang,5
2,"Meristem primer digunakan untuk pertumbuhan panjang (pertumbuhan primer) yang dipengaruhi oleh meristem apikal, sedangkan meristem sekunder bertanggung jawab untuk pertumbuhan besar (pertumbuhan sekunder) yang dipengaruhi oleh kambium.",5
2,Meristem primer yaitu meristem yang terdapat pada bagian luar tumbuhan serta aktif membelah sedangkan meristem sekunder yaitu meristem yg terdapat ada bagian dalam tumbuhan yang berfungsi untuk memperbesar batang,3
2,"Meristem primer terdapat pada ujung-ujung bagian tumbuhan seperti akar maupun ujung batang, berfungsi dalam pemanjangan ukuran tumbuhan. Sedangkan meristem sekunder berfungsi memperbesar diameter batang tumbuhan.",5
2,Meristem primer adalah jaringan embrional yang membelah diri. Sedangkan Meristem Sekunder adalah jaringan yang selnya berkembang,1
2,Aktifitas meristem primer menjadikan batang juga akar tumbuh MEMANJANG. Sementara aktifitas meristem sekunder menjadikan batang tumbuh MEMBESAR bukan memanjang.,5
2,Pas,0
2,"Meristem primer berperan dalam pertumbuhan diameter tumbuhan. Sedangkan, meristem sekunder berperan pemanjangan batang tumbuhan.",1
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus,5
2,meristem primer berasal dari sel sel yang masih aktif membelah sedahkan meristem sekundur berasal dari jaringan dewasa,3
2,Meristem primer dia sendiri dalam melakukan prosesnya. Kalau sekunder dia lebih dari satu.,1
2,Dari namanya,0
2,"Primer. Sifat hubungan anggotanya permanen yaitu para anggotanya bersam adalam waktu yang lama. Sedangkan meristem sekunder, kebersamaan anggotanya relatif singkat",1
2,Meristem,0
2,Meristem primer menyebabkan pertumbuhan  arah memanjang sedangkan meristem sekunder menyebabkab pertumbuhan  ke arah samping,4
2,.,0
2,meristem primer adalah yang terus berkembang,1
2,"meristem primer biasa terletak di ujung akar dan batang serta membelah ke atas, meristem sekunder terletak pada kambium dan pembelahammya kesamping",4
2,Lupa,0
2,"Meristem primer : Jaringan aktif membelah yang menyebabkan pertambahan panjang / tinggi tumbuhan biasanya terletak di pucuk, meristem sekunder : Jaringan yang aktif membelah yang menyebabkan bertambahnya diameter tumbuhan misalnya kambium",4
2,pada pertumbuhannya,1
2,Meristem primer aktif membelah  sedangkan meristem sekunder sudah tidak aktif membelah,1
2,"Meristem primer yaitu pertumbuhan panjang tanaman, yaitu pada ujung akar dan pucuk batang. Sedangkan meristem sekunder yaitu pertumbuhan lebar batang terjadi pada epidermis batang",5
2,Meristem primer terkait pemanjangan atau bertambah tingginya tanaman kalau meristem sekunder pelebaran batang,5
2,meristem primer adalah meristem yang berada di pangkal yang berfungsi untuk pemangjangan sedangan meristem sekunder pertumbuhan ke samping .,4
2,Meristem primer lebih berada di dalam dibanding meristem sekunder,1
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar.,5
2,Maristem primer terdapat pada ujung akar atau batang yang masih aktif membelah dan maristem sekunder adalah amristem yang terbentuk dari maristem primer yang selanjutnya menjadi jaringan maristematis.,2
2,Pertumbahan pada embrio atau jaringan meristem dari hasil pembelahan sel-sel jaringan meristem primer ini disebut dengan pertumbuhan primer. Meristem sekunder yaitu pertumbuhan pada embrio atau jaringan meristem dari hasil pembelahan sel-sel jaringan meristem sekunder,1
2,"Meristem primer banyak dijumpai pada ujung akar dan batang, sedangkan meristem sekunder terdapat pada bagian tengah vakuola.",2
2,Meristem primer merupakan pertumhuhan ke atas dan meristem sekunder pertumbuhan ke samping,3
2,Meristem primer berada didalam dan meristem sekunder berada diluar,1
2,Aktivitas meristem primer menjadikan batang juga akar memanjang sedangkan aktivitas meristem sekunder menjadikan batang membesar,5
2,Meristem primer merupakan meristem yang terdiri dari sel sel embrionik sedangkan Meristem sekunder adalah meristem yang asalnya dari jaringan dewasa.,5
2,"Meristem primer adalah Keturunan langsung dari sel-sel Embrionik. Sedangkan, meristem sekunder adalah Jaringan meristematik yang muncul dari jaringan permanen.",5
2,Aktifitas meristem primer menjadikan batang juga akar tumbuh MEMANJANG. Sementara aktifitas meristem sekunder menjadikan batang tumbuh MEMBESAR bukan memanjang.  Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar.,5
2,"Mersitem primer adalah jaringan dasar tumbuhan yang berfungsi untuk pertumbuhan, meristem sekunder jaringan untuk perkembangan tumbuhan",0
2,meristem primer terdapt jaringan sel-selnya aktif membelah secara mitosis dan mersitem sekunder adalah jaringan yang sel-selnya aktif membelah secara meiosis,1
2,Aktifitas meristem primer menjadikan batang juga akar tumbuh MEMANJANG. Sementara aktifitas meristem sekunder menjadikan batang tumbuh MEMBESAR bukan memanjang.,5
2,Meristem primer terdapat 1 jika meristem sekunder terdapat 2,0
2,"Meristem primer terletak di ujung daun dan akar, meristem sekunder terletak pada kambium batang.",4
2,untuk pertambahan panjang dan penambahan diameter,0
2,"Meristem primer memiliki titik tumbuh di bagian ujung akar dan ujung batang, sedangkan meristem sekunder memiliki titik tumbuh di bagian jaringan kambium untuk perbesaran",5
2,meristem primer: jaringan yang aktif membelah untuk pertumbuhan primer(memanjang).  meristem sekunder: jaringan meristem yang bertugas dalam prtumbuhan sekunder(membesar) sperti kambium.,5
2,Meristem primer adalah jaringan yang terdapat di ujung-ujung tumbuhan(batang dan akar) dan aktif membelah. Sedangkan meristem sekunder adalah jaringan yang pembelahannya mempengaruhi pertumbuhan sekunder tanaman(melebarkan diameter batang tanaman).,5
2,belum tahu,0
2,Meristem primer untuk jadi kambium,1
2,"meriste primer terdapat pada ujung akar dan ujung batang, menyebabkan pertumbuhan primer seperti penambahan tinggi. meristem sekunder terleta di batang menyebabkan pertumbuhan sekunder yaitu batang tumbuhan semakin membesar",5
2,Primer buat kebutuhan utama,0
2,Primer bagian luar sekunder bagian dalam,1
2,meristem primer adalah jaringan meristem yang terletak di ujung akar berfungsi untuk pemanjangm tumbuhan sedangkan meristem sekunder berfungsi untuk pertumbuhan ke samping,1
2,meristem primer keatas dan kebawah sedangkan meristen sekunder kesamping kanan dan kiri,2
2,Meristem sekunder berupa kambium dan hanya ada pada tanaman dikotil.,1
2,meristem primer merupakan jaringan muda yang aktif membelah sedangkan sekunder jaringan dewasa contohnya kambium,5
2,meristem primer selnya selalu aktif membelah atau berperan sebagai titik tumbuh utama,2
2,"meristem primer adalah sel-sel meristem untuk pertumbuhan primer, sedangkan meristem sekunder untuk pertumbuhan sekunder seperti pembentukan kambium",3
2,Yaitu,0
2,"Meristem primer untuk pertumbuhan ke atas dan terletak di ujung akar atau batang, meristem sekunder untuk pertumbuhan ke samping dan terletak di antara xilem dan floem",4
2,Meristem primer terdapat dibagian pucuk daun sedangkan Meristem sekunder terdapat di ujung akar.,1
2,"Primer apikal,sekunder lateral",0
2,d,0
2,Primer tumbuh memanjang dan sekunder tumbuh membesar,2
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus.,5
2,"Meristem primer banyak ditemukan pada tumbuhan yang masih aktif membelah, sedangkan meristem sekunder terbentuk dari meristem primer dan selanjutnya menjadi meristematis",3
2,"meristem primer menyebabkan pertumbuhan primer, sedangkan meristen sekunder menyebabkan pertumbuhan sekunder",3
2,Aktifitas meristem primer menjadikan batang juga akar tumbuh MEMANJANG. Sementara aktifitas meristem sekunder menjadikan batang tumbuh MEMBESAR bukan memanjang,3
2,"meristem primer menggunakan codelnigter a dan codelnigter c untuk membuat transgenerisasi komputatif pada web, sedangkan meristem sekuder berkebalikan",0
2,"meristem primer yaitu cikal bakal dari jaringan primer, di mana dari jaringan primer muncul meristem sekunder. pertumbuhan primer yaitu mdmanjang, sedangkan pertumbuhan sekunder melebar. meristem primer tumbuh mendahului meristem sekunder.",2
2,Meristem primer tumbuh memanjang sedangkan meristem sekunder tumbuh melebar karena aktivitas kambium,4
2,"meristem primer belum tetap, meristem sekunder sudah tetap atau tua",1
2,"meristem primer tumbuh ke atas (vertikal), sedangkan meristem sekunder tumbuh secara horizontal.",5
2,a,0
2,Meristem primer,0
2,maaf saya lupa,0
2,"salah satu perbedaannya ialah aktifitas meristem primer menjadikan batang dan akar tumbuh memanjang, sedangkan aktifitas meristem sekunder membuat batang tumbuh membesar ke samping maksudnya bukan memanjang ke atas.",5
2,Primer lbh di atas,1
2,meristem primer di pucuk (meninggi) sedangkan meristem sekunder di kambium (melebar),4
2,"Primer= banyak ditemukan pada tumbuhan dewasa yang masih aktif membelah,terdapat pada ujung akar dan batang. Sekunder= terbentuk dari maristem primer dan kemudian menjadi meristrmatis,sel berbentuk pipih dan di bagian tengah terdapay vakuola",2
2,Meristem primer memanjang vertikal sekunder lateral,3
2,meristem primer itu memanjang sementara meristem sekunder itu menyamping,3
2,belum tahu,0
2,"primer ke arah luar, meristem sekunder ke arah dalam",1
2,meristem primer adalah pertumbuhan utama pada tumbuhan seperti panjang batang sedangkan meristem sekunder adalah pertumbuhan lanjutan pada tumbuhan seperti pembesaran jaringan sel,2
2,Meristem primer untuk pertumbuhan kesamping sedangkan skunder pertumbuhan ke atas,1
2,meristem primer utk pertumbuhan primer wgwg kalo sekunder ya contohnya kambium/?,2
2,Meristem primer terdapat pada tanaman monokotil dan dikotil sedangkan meristem sekunder hanya dimiliki oleh tanaman dikotil,2
2,"Meristem primer adalah meristem pada batang atau akar tumbuhan yang menambahkan tinggi atau panjang dari tumbuhan, sedangkan meristem sekunder berfungsi untuk menambah lebar atau diameter dari batang atau akar.",5
2,Umur pembentukan nyaa,0
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar.,5
2,aktifitas meristem primer menjadikan batang juga akar tumbuh memanjang. sedangkan aktifitas meristem sekunder menjadikan batang tumbuh membesar bukan memanjang,5
2,lupaa,0
2,"Meristem primer merupakan jaringan muda yang aktif membelah pada tumbuhan muda, sedangkan mersitem sekunder merupakan jaringan yang tidak dapat membelah lagi.",1
2,Meristem primer ke atas dan meristem sekunder ke samping.,3
2,Primer pertumbuhan ke atas dan ke bawah sedangakn sekunder ke samping atau diameter.,5
2,"Meristem primer untuk memperbanyak sel pada pertumbuban primer, meristem sekunder berfungsi pada pertumbuhan sekunder seperti penebalan batang",3
2,Meristem primer tumbuh ke atas sedangkan meristem sekunder tumbuh melebar,3
2,Kalo primer batangnya jadi memanjang. Kalo sekunder melebar/membesar,3
2,Aktifitas meristem primer menjadikan bintang juga akar tumbuhan memanjang. Sementara aktifitas meristem sekunder menjadikan batang tumbuh membesar bukan memanjang,4
2,h,0
2,primer utama sekunder belakangan,1
2,Maritem primer berperan dalam pertubuhan primer yakni pemanjangan batang sedangkan maristem sekunder berperan dalam pertumbuhan sekunder yakni batang pertmabah besar (diameter),4
2,Meristem sekunder berdiferensiasi menjadi xilem dan floem,1
2,Tidak tahu,0
2,.,0
2,Aktifitas meristem primer menjadikan batang juga akar tumbuh memanjang. Sementara aktifitas meristem sekunder menjadikan batang tumbuh membesar bukan memanjang.,4
2,"Meristem primer membentuk jaringan primer, meristem sekunder membentuk jaringan sekunder. Hobaah",1
2,"Meristem primer di ujung batang dan akar, sedangkan meristem sekunder adalah kambium",4
2,meristem primer berpengaruh terhadap pertumbuhan kalau meristem sekunder berpengaruh terhadap perkembangan,1
2,primer pertumbuhannya lebih ke arah memanjang dan terletak pada ujung akar atau batang sedangkan sekunder terletak pada kambium yang mengalami pertumbuhan ke arah pelebaran,5
2,Letaknya,1
2,"Arah pertumbuhan. Meristem primer pertumbuhan primer, meristem sekunder pertumbuhan sekunder",2
2,Meristem primer adalah jaringan yang aktif membelah ke arah vertikal sedangkan meristem sekunder adalah jaringan yang aktif membelah ke arah horizontal.,5
2,tidak tau.,0
2,Meristem primer adalah jaringan yg sudah ada semenjak tanaman dalam bentuk embrio,2
2,"Meristem primer berada di ujung-ujung akar, batang, dan daun. Meristem sekunder berada di kambium.",5
2,primer ke atas sekunder ke samping,3
2,Meristem primer menyebabkan tumbuhan bertambah tinggi sedangkan sekunder bertambah besar,4
2,"meristem primer ada di bagian terluar, sedangkan sekunder di dalamnya",1
2,"Maristem primer membuat tumbuhan semakin tinggi, sedangkan maristem sekunder membuat tumbuhan semakin lebar",5
2,"Primer memanjang, sekunder membesar",4
2,"meristem primer adalah jaringan tumbuhan yang tumbuh memanjang, sedangkan meristem sekunder merupakan jaringan tumbuhan yang tumbuh menebal atau kesamping.",5
2,Gatau,0
2,Meristem Primer merupakan meristem meristem yang terdiri dari sel sel embrionik. Sel sel tersebut senantiasa aktif membelah sehingga menyebabkan pertumbuhan memanjang. Sementara meristem sekunder adalah meristem yang asalnya dari jaringan dewasa contohnya kambium dan juga kambium gabus. Kambium ini aktif membelah sehingga menyebabkan batang bertambah besar.,5
2,Meristem primer menyebabkan pertumbuhan yang memanjang. Sedangkan sekunder membesar.,4
2,Gtw,0
2,"Meristem pimer menjadikan batang tubuh memanjang,meristem sekunder menjadikan batang tunbuh membesar",1
2,"Meristem primer berpengaruh terhadap tinggi tanaman , meristem sekunder beprngaruh terhadap lingkar tahun",5
2,primer berada diluar sekunder berada didalam,1
2,A,0
2,"meristem primer untuk pertumbuhan vertikal, meristem sekunder untuk pertumbuhan horizontal",5
2,"Meristem primer berasal dari jaringan embrional yang membelah secara mitosis dan menghasilkan pertumbuhan primer pada tumbuhan, Sedangkan Meristem sekunder berasal dari jaringan dewasa yang sel selnya telah (terdiferensiasi)",4
